PModel,Task,OpType,Opt,InsCount,Timer,Time,LNum,AvTime,AbsErr,RelErr,TaskPerf
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,3.985e-08,24,3.81944e-08,1.65563e-09,0.0433474,2.50941e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,3.953e-08,25,3.81944e-08,1.33563e-09,0.0349692,2.52972e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,4.02e-08,26,3.81944e-08,2.00563e-09,0.052511,2.48756e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,4.087e-08,27,3.81944e-08,2.67563e-09,0.0700529,2.44678e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,3.952e-08,28,3.81944e-08,1.32563e-09,0.0347073,2.53036e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,4.094e-08,29,3.81944e-08,2.74563e-09,0.0718856,2.4426e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,3.96e-08,30,3.81944e-08,1.40563e-09,0.0368019,2.52525e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,3.996e-08,31,3.81944e-08,1.76563e-09,0.0462274,2.5025e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,4.089e-08,0,3.89525e-08,1.9375e-09,0.0497401,2.44559e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,4.262e-08,1,3.89525e-08,3.6675e-09,0.0941531,2.34632e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,3.977e-08,2,3.89525e-08,8.175e-10,0.0209871,2.51446e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,4.138e-08,3,3.89525e-08,2.4275e-09,0.0623195,2.41663e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,4.083e-08,4,3.89525e-08,1.8775e-09,0.0481997,2.44918e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,4.302e-08,5,3.89525e-08,4.0675e-09,0.104422,2.3245e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,4.053e-08,6,3.89525e-08,1.5775e-09,0.040498,2.46731e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,4.177e-08,7,3.89525e-08,2.8175e-09,0.0723317,2.39406e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,4.227e-08,8,3.89525e-08,3.3175e-09,0.0851678,2.36574e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,4.14e-08,9,3.89525e-08,2.4475e-09,0.0628329,2.41546e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,3.849e-08,10,3.89525e-08,4.625e-10,0.0118734,2.59808e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,4.036e-08,11,3.89525e-08,1.4075e-09,0.0361338,2.4777e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,4.195e-08,12,3.89525e-08,2.9975e-09,0.0769527,2.38379e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,3.863e-08,13,3.89525e-08,3.225e-10,0.00827931,2.58866e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,4.557e-08,14,3.89525e-08,6.6175e-09,0.169886,2.19443e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,3.675e-08,15,3.89525e-08,2.2025e-09,0.0565432,2.72109e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,4.06e-08,16,3.89525e-08,1.6475e-09,0.0422951,2.46305e+07
AMD Ryzen 3600,sin_f64,f64,O3,12,high_resolution_clock,3.97e-08,17,3.89525e-08,7.475e-10,0.01919,2.51889e+07
